                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.48842,                0.41679,                0.96615,                0.99252,                      1,                  0.995,                0.87003,                0.58823,                 0.4756,                 1.0118,              0.0014786,              0.0014786,              0.0014786
                     81,                0.48215,                0.37476,                0.95188,                0.98898,                      1,                  0.995,                0.83998,                0.62597,                0.52119,                 1.0381,               0.001472,               0.001472,               0.001472
                     82,                0.49138,                0.39151,                0.98556,                0.99379,                      1,                  0.995,                0.85855,                0.67641,                0.58703,                 1.0869,              0.0014654,              0.0014654,              0.0014654
                     83,                0.49117,                0.39776,                0.99376,                      1,                0.94951,                  0.995,                0.88954,                0.59129,                0.51999,                 1.0393,              0.0014588,              0.0014588,              0.0014588
                     84,                0.48207,                0.40261,                0.98979,                      1,                0.98388,                  0.995,                0.88105,                0.53209,                0.51191,                0.97506,              0.0014522,              0.0014522,              0.0014522
                     85,                0.50395,                0.39303,                0.95014,                0.98868,                      1,                  0.995,                0.83287,                0.61709,                0.53619,                 1.0287,              0.0014456,              0.0014456,              0.0014456
                     86,                0.47803,                0.37582,                0.97231,                0.97836,                      1,                  0.995,                0.87707,                0.65851,                0.63615,                 1.0987,               0.001439,               0.001439,               0.001439
                     87,                0.50932,                0.38487,                 1.0035,                0.98881,                      1,                  0.995,                0.83179,                0.61544,                0.52355,                 1.0347,              0.0014324,              0.0014324,              0.0014324
                     88,                0.47929,                0.38588,                0.96448,                0.99146,                      1,                  0.995,                0.85125,                0.56471,                0.50891,                0.98952,              0.0014258,              0.0014258,              0.0014258
                     89,                0.46453,                 0.3707,                0.96124,                0.99149,                      1,                  0.995,                0.88709,                0.55597,                 0.5119,                 1.0037,              0.0014192,              0.0014192,              0.0014192
                     90,                 0.4902,                0.37732,                 1.0043,                0.99181,                      1,                  0.995,                0.86463,                0.60828,                0.47061,                 1.0427,              0.0014126,              0.0014126,              0.0014126
                     91,                0.54573,                0.42444,                 1.0448,                0.98918,                      1,                  0.995,                0.85605,                0.66042,                0.48787,                 1.1088,               0.001406,               0.001406,               0.001406
                     92,                0.46363,                0.38827,                0.97615,                0.98893,                      1,                  0.995,                0.87281,                0.63426,                0.51854,                 1.1272,              0.0013994,              0.0013994,              0.0013994
                     93,                0.48085,                0.38674,                0.98835,                0.98906,                      1,                  0.995,                0.87013,                 0.5863,                0.48891,                 1.1004,              0.0013928,              0.0013928,              0.0013928
                     94,                 0.5097,                0.41065,                 1.0038,                0.99216,                      1,                  0.995,                0.84966,                0.50557,                0.45366,                 1.0322,              0.0013862,              0.0013862,              0.0013862
                     95,                0.44124,                0.40409,                0.96368,                0.99221,                      1,                  0.995,                0.91527,                0.49237,                0.44471,                 1.0389,              0.0013796,              0.0013796,              0.0013796
